;time_start;time_reading;co2;tvoc;pm1_0;pm2_5;pm10;temperature;humidity
0;1692966219,449871;0,044646;634;0,01;5;6;6;24,8;57,1
1;1692966219,550179;0,0399;635;0,01;5;6;6;24,8;57,1
2;1692966219,650572;0,051423;635;0,01;5;6;6;24,8;57,1
3;1692966219,750833;0,04715;635;0,01;5;6;6;24,8;57,1
4;1692966219,85119;0,042585;635;0,01;5;6;6;24,8;57,1
5;1692966219,95149;0,037125;635;0,01;5;6;6;24,8;57,1
6;1692966220,052278;0,0483;635;0,01;5;6;6;24,8;57,1
7;1692966220,152432;0,043093;635;0,01;5;6;6;24,8;57,1
8;1692966220,255258;0,05188;635;0,01;5;6;6;24,8;57,1
9;1692966220,354905;0,049869;635;0,01;5;6;6;24,8;57,1
10;1692966220,455837;0,043367;635;0,01;5;6;6;24,8;57,1
11;1692966220,556004;0,038221;635;0,01;5;6;6;24,8;57,1
12;1692966220,656836;0,048899;635;0,01;5;6;6;24,8;57,1
13;1692966220,757155;0,044012;635;0,01;5;6;6;24,8;57,1
14;1692966220,858364;0,042276;635;0,01;5;6;6;24,8;57,1
15;1692966220,958604;0,050197;635;0,01;5;6;6;24,8;57,1
16;1692966221,058922;0,049544;635;0,01;5;6;6;24,8;57,1
17;1692966221,161416;0,040138;635;0,01;5;6;6;24,8;57,1
18;1692966221,261149;0,050016;635;0,01;5;6;6;24,8;57,1
19;1692966221,361407;0,045316;635;0,01;5;6;6;24,8;57,1
20;1692966221,461725;0,040684;635;0,01;5;6;6;24,8;57,1
21;1692966221,561986;0,036024;635;0,01;5;6;6;24,8;57,1
22;1692966221,662351;0,051611;635;0,01;5;6;6;24,8;57,1
23;1692966221,762581;0,042733;635;0,01;5;6;6;24,8;57,1
24;1692966221,863318;0,037844;635;0,01;5;6;6;24,8;57,1
25;1692966221,963683;0,048719;635;0,01;5;6;6;24,8;57,1
26;1692966222,063972;0,04442;635;0,01;5;6;6;24,8;57,1
27;1692966222,164431;0,040513;635;0,01;5;6;6;24,8;57,1
28;1692966222,264719;0,059382;635;0,01;5;6;6;24,8;57,1
29;1692966222,365212;0,04614;635;0,01;5;6;6;24,8;57,1
30;1692966222,465762;0,040674;635;0,01;5;6;6;24,8;57,1
31;1692966222,56762;0,051695;635;0,01;5;6;6;24,8;57,1
32;1692966222,667815;0,045903;635;0,01;5;6;6;24,8;57,1
33;1692966222,768134;0,041156;635;0,01;5;6;6;24,8;57,1
34;1692966222,868404;0,036515;635;0,01;5;6;6;24,8;57,1
35;1692966222,968714;0,047742;635;0,01;5;6;6;24,8;57,1
36;1692966223,068971;0,043096;635;0,01;5;6;6;24,8;57,1
37;1692966223,169316;0,040029;635;0,01;5;6;6;24,8;57,1
38;1692966223,269579;0,049592;635;0,01;5;6;6;24,8;57,1
39;1692966223,369868;0,045079;635;0,01;5;6;6;24,8;57,1
40;1692966223,470144;0,040306;635;0,01;5;6;6;24,8;57,1
41;1692966223,57044;0,035951;635;0,01;5;6;6;24,8;57,1
42;1692966223,670778;0,046808;635;0,01;5;6;6;24,8;57,1
